corp_name,stock_code,fiscal_year,credit_rating,rating_boundary_group,sample_prob_speculative,sample_threshold,before_final_committee_label,before_committee_decision_type,before_recommended_guardrail_action,after_final_committee_label,after_committee_decision_type,after_recommended_guardrail_action,label_changed,financial_supports,financial_blockers,current_ratio,cash_ratio,interest_coverage_ratio,ocf_to_sales,ocf_to_total_liabilities,cashflow_coverage_ratio,net_margin,equity_ratio,debt_ratio,total_borrowings_ratio,short_term_borrowings_share,capital_impairment_ratio,icr_under_1,is_2y_consecutive_ocf_deficit,is_2y_consecutive_operating_loss,after_conflict_resolution
피앤씨테크(주),237750,2021,BBB+,near_investment_BBB_plus_to_BBB_minus,0.29425952,0.31,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,6.4042347499207875,1.1394762273581378,90.26589761186816,0.144621808588791,0.3811791095882385,143.79423594089587,0.1589367558983791,0.8883197343269459,0.1257207977684646,0.0340899174165351,1.0,-19.16841875196257,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)세화피앤씨,252500,2021,BBB+,near_investment_BBB_plus_to_BBB_minus,0.29425952,0.31,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,6.411312304414364,0.8106698063023361,295.2080984720933,0.1602413552996619,1.3040923246121727,344.8572044384026,0.1226878252388254,0.8814020573513253,0.1345560084180763,0.0,,-7.730012183754721,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)화승알앤에이,378850,2021,BBB-,near_investment_BBB_plus_to_BBB_minus,0.29384992,0.31,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,cashflow,"weak_interest_and_capital,short_term_borrowings_pressure",0.6355771270134063,0.0181776507848124,1.417391815257402,0.0560762681270772,0.0829804353894265,4.944627536799645,0.0112564417285097,0.1499635520561391,5.668286968993962,0.4426159526351846,0.772989493105261,-5.349159275765383,0,0,0,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 29.4%, 기준선이 31.0%로 차이가 1.6%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
(주)아시아경제,127710,2022,BBB,near_investment_BBB_plus_to_BBB_minus,0.2422206,0.25,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,liquidity,"icr_under_1,weak_interest_and_capital",0.7570788500040494,0.1608311295966629,-0.7575053087905095,0.9244252604250344,0.1486613375615375,52.17764633357414,0.2049132969235514,0.2639167427071183,2.789073742508827,0.5014317304164995,0.6886414094345713,-9.889892878431812,1,0,0,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 24.2%, 기준선이 25.0%로 차이가 0.8%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
(주)화신정공,126640,2022,A-,upper_investment_A_or_above,0.23825942,0.25,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.3348449967447071,0.496010016446592,11.724612314124531,0.0532441827492911,0.2834090200512043,21.353245963895304,0.0222590436335544,0.6298660495111712,0.5876391508576843,0.092948805267765,1.0,-26.945117108050617,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)옵투스제약,131030,2022,BBB+,near_investment_BBB_plus_to_BBB_minus,0.23825942,0.25,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,8.338488190960872,1.0664586689389512,61.21780021113803,0.0348696863962628,0.173736833055598,23.813627602716725,0.0854449425758489,0.9135879373548796,0.0945853804673802,0.0,,-14.02795319423474,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)아이즈비전,031310,2022,BBB-,near_investment_BBB_plus_to_BBB_minus,0.23808466,0.25,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,capital",ocf_both_negative,1.6767732560493165,0.2414964229976537,2.0998191557246613,-0.0869068504646374,-0.2029543008154087,-5.511787313363677,-0.0281350130142194,0.6671602686047783,0.4988902234055856,0.0295673143813791,1.0,-19.009028401514417,0,1,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)하나투어,039130,2022,BBB-,near_investment_BBB_plus_to_BBB_minus,0.23534141,0.25,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,liquidity,"icr_under_1,ocf_both_negative,net_margin_below_minus_10pct,two_year_op_loss_and_ocf_deficit,weak_interest_and_capital",1.1623208095035884,0.3973954101907114,-35.90974943332104,-0.0890746615038116,-0.0287884899676646,-3.63443449042191,-0.5616484874770616,0.2189178811101891,3.5679228993286047,0.0488225772141563,0.6462773348197427,-11.432257846501686,1,1,1,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 23.5%, 기준선이 25.0%로 차이가 1.5%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
(주)원익큐브,014190,2022,BBB+,near_investment_BBB_plus_to_BBB_minus,0.23419206,0.25,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,2.938656813496127,0.7846102559115009,8.487649235495358,0.0153151124605456,0.1009733508201101,7.514806355412373,0.0174678898879673,0.7272659461114873,0.3750128207525113,0.0909256743173213,1.0,-4.620757298056102,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)플랜티넷,075130,2022,BBB-,near_investment_BBB_plus_to_BBB_minus,0.23015136,0.25,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,3.877782022460949,2.244232198015053,13.180356019295305,0.1076875187990743,0.2447863241777899,45.06710098573826,-0.0535432717692067,0.8463325960552497,0.1815685755942675,0.0207186293923036,1.0,-8.307356975440252,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)예림당,036000,2019,BBB,near_investment_BBB_plus_to_BBB_minus,0.2226509,0.225,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,"liquidity,cashflow","icr_under_1,weak_interest_and_capital",1.211995035363599,0.4908884389893324,-0.8258029687715767,0.146692428593756,0.1944901226738761,4.094926952897296,-0.0585730816080962,0.345264366069667,1.8963313283196488,0.0,,-27.618411555547368,1,0,0,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 22.3%, 기준선이 22.5%로 차이가 0.2%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
청광건설(주),140290,2019,BBB+,near_investment_BBB_plus_to_BBB_minus,0.21977559,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,cashflow,,,,1000000.0,,,1000000.0,,,,,,,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)일지테크,019540,2019,BBB,near_investment_BBB_plus_to_BBB_minus,0.2190933,0.225,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,,"icr_under_1,weak_interest_and_capital",0.4861073648743056,0.0517497548415968,-2.4587680397361065,0.1654451625256451,0.1370918925598354,5.331724592954624,-0.0223901734425081,0.34029722231203,1.9386075889948529,0.2936342699132109,0.9681001231062516,-16.60905746105746,1,0,0,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 21.9%, 기준선이 22.5%로 차이가 0.6%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
(주)피제이전자,006140,2019,A+,upper_investment_A_or_above,0.2184593,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,2.5472453034572964,0.017082021899878,42.59622738858888,0.0603446073493602,0.1905778105195468,43.34380345139055,0.0491820830131693,0.7728944525383074,0.2938377248223765,0.0917048254812906,0.1181102362204724,-13.271527509733334,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)소프트센,032680,2019,BBB,near_investment_BBB_plus_to_BBB_minus,0.21503384,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",icr_under_1,2.1055577352266797,1.5227376289043897,0.4960360488728565,0.3868423178025718,1.3884738727002035,73.71918819397524,-0.0355429909664699,0.5540992812867956,0.8047307292615149,0.0,,-0.9500313969640892,1,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
다스코(주),058730,2019,A-,upper_investment_A_or_above,0.21417423,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.486570869387802,0.2000011403419307,2.9897228949652144,0.0510035011021803,0.1206554043410613,10.764650585261998,0.0087346433989516,0.5743349493345895,0.7411442593883162,0.1781511328221061,0.8390590735032522,-14.414715125,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)그리티,204020,2019,BBB,near_investment_BBB_plus_to_BBB_minus,0.21354613,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,capital",ocf_both_negative,4.776223880948255,0.0617882289351845,4.95043082944862,-0.0137057468010335,-0.0938706022144189,-2.8657990051509263,0.0127016992735389,0.8049898886178813,0.2422516284234813,0.0156473253051417,1.0,-6.069008044617376,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)삼양패키징,272550,2019,A-,upper_investment_A_or_above,0.20398116,0.225,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.4756318842802014,0.4571800966035421,5.112873478421247,0.1645873397222473,0.2225667956115517,7.59781138571253,0.0756068846852509,0.5076118455355781,0.9700126825075728,0.375516530757744,0.1327914687018863,-3.028501456741122,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
