market,stock_code,corp_name,fiscal_year,eval_year,is_speculative,credit_rating,credit_rating_rank,representative_rating_agency,representative_rating_agency_code,representative_rating_target,representative_rating_date,representative_disclosure_date,representative_current_outlook,is_model_input_available,model_input_dataset,source_rating_count,source_agencies,source_targets,source_rating_dates,source_periods,source_files,source_pdf_company_names
KOSDAQ,035760,(주)씨제이이엔엠,2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-02-03,2026-02-04,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-03,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)씨제이이엔엠
KOSPI,023530,롯데쇼핑(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-19,2026-01-19,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-19,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,롯데쇼핑(주)
KOSPI,030200,(주)케이티,2025,2026,0,AAA,1,한국기업평가,KR,회사채,2026-02-19,2026-02-19,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-19,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)케이티
KOSPI,031440,(주)신세계푸드,2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-01-14,2026-01-15,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-14,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)신세계푸드
KOSPI,032640,(주)엘지유플러스,2025,2026,0,AA,3,한국기업평가,KR,기업신용평가,2026-01-20,2026-01-20,긍정적,True,feature_44_inference_2026,4,한국기업평가,기업신용평가;회사채,2026-01-15;2026-01-20;2026-03-19,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)LG유플러스
KOSPI,034730,에스케이(주),2025,2026,0,AA+,2,한국기업평가,KR,회사채,2026-03-19,2026-03-19,안정적,True,feature_44_inference_2026,2,한국기업평가,회사채,2026-03-19,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,SK(주)
KOSPI,036460,한국가스공사(주),2025,2026,0,AAA,1,한국기업평가,KR,회사채,2026-03-10,2026-03-10,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-10,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한국가스공사
KOSPI,042660,한화오션(주),2025,2026,0,A-,7,한국기업평가,KR,회사채,2026-01-28,2026-01-28,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-28,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한화오션(주)
KOSPI,047040,(주)대우건설,2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-11,2026-02-12,부정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-11,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)대우건설
KOSPI,058650,(주)세아홀딩스,2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-03,2026-02-04,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-03,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)세아홀딩스
KOSPI,060980,에이치엘홀딩스(주),2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-12,2026-02-12,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-12,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치엘홀딩스(주)
KOSPI,079980,(주)휴비스,2025,2026,0,BBB+,8,한국기업평가,KR,회사채,2026-02-13,2026-02-13,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-13,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)휴비스
KOSPI,089860,롯데렌탈(주),2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-01-21,2026-01-21,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-21,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,롯데렌탈(주)
KOSPI,097950,씨제이제일제당(주),2025,2026,0,AA,3,한국기업평가,KR,회사채,2026-01-14,2026-01-15,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-14,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,씨제이제일제당(주)
KOSPI,101530,해태제과식품(주),2025,2026,0,A,6,한국기업평가,KR,회사채,2026-03-04,2026-03-04,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-04,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,해태제과식품(주)
KOSPI,139480,(주)이마트,2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-07,2026-01-07,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-07,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)이마트
KOSPI,145990,(주)삼양사,2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-03-25,2026-03-26,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-25,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)삼양사
KOSPI,161890,한국콜마(주),2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-06,2026-02-06,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-06,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한국콜마(주)
KOSPI,267250,에이치디현대(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-03-25,2026-03-25,안정적,True,feature_44_inference_2026,2,한국기업평가,회사채,2026-03-25,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치디현대(주)
KOSPI,267260,에이치디현대일렉트릭(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-03-25,2026-03-25,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-25,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치디현대일렉트릭(주)
KOSPI,267270,에이치디건설기계(주),2025,2026,0,A,6,한국기업평가,KR,회사채,2026-01-07,2026-01-07,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-07,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치디건설기계(주)
KOSPI,272210,한화시스템(주),2025,2026,0,AA,3,한국기업평가,KR,회사채,2026-01-28,2026-01-28,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-28,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한화시스템(주)
KOSPI,298040,효성중공업(주),2025,2026,0,A+,5,한국기업평가,KR,기업신용평가,2026-03-27,2026-03-27,안정적,True,feature_44_inference_2026,1,한국기업평가,기업신용평가,2026-03-27,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,효성중공업(주)
KOSPI,329180,에이치디현대중공업(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-03-25,2026-03-25,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-25,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치디현대중공업(주)
KOSPI,489790,한화비전(주),2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-01-21,2026-01-21,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-21,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한화비전(주)
